threads, training, cpuUsage, watt, A
1, 10, 15, 63, 0.56
2, 10, 17.8, 64.7, 0.57
4, 10, 22.7, 68, 0.6
8, 10, 30, 71, 0.63
1, 30, 16, 64.5, 0.57
2, 30, 19.25, 67, 0.58
4, 30, 25.5, 68.25, 0.612
8, 30, 31, 72.25, 0.635
1, 30, 14.4, 62.6, 0.556
2, 60, 25, 71.15, 0.635
4, 60, 23.3, 68.3, 0.603
8, 60, 29.2, 70.2, 0.626

